현토,빈도,TAM범주,주요범주
로되하며은하고하니이라하고러라,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
는라에이라로러니하여하고하여라,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
하야로하야하니라에가이러니하야한대라하야라하니하다,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
가이러니하야로되하야이라하야로하야하니라,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
하고이면를리라는하고하니로다,3,"epistemic_mood, deontic_mood, declarative_mood",epistemic_mood
은니이라로요은니는가로요,3,"declarative_mood, deontic_mood, interrogative_mood",declarative_mood
하고하면하여리라이면이라하니,3,"epistemic_mood, deontic_mood, declarative_mood",epistemic_mood
이면며이면이리오는라,3,"epistemic_mood, deontic_mood, interrogative_mood",epistemic_mood
하고라에이러니하고하야하야이어늘이라,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
하여어든하여호리라하니이다라,3,"epistemic_mood, deontic_mood, declarative_mood",epistemic_mood
면리니라에하니니이면라,3,"epistemic_mood, deontic_mood, declarative_mood",epistemic_mood
오하야이요은이라,3,"declarative_mood, deontic_mood, interrogative_mood",declarative_mood
하여하고이니오도라하니라,3,"declarative_mood, deontic_mood, interrogative_mood",declarative_mood
에하야러니하야이라하야하야하고한대이라,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
이어늘이리라는오는며은니,3,"epistemic_mood, deontic_mood, interrogative_mood",epistemic_mood
에이러니하고하야하야이어늘이라하니삭어늘라,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
하야하야나하고하야하고하야러라에이라,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
는라하여로하여이러니하여이라,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
한대하고하니하라하리라니리오,3,"epistemic_mood, deontic_mood, interrogative_mood",epistemic_mood
하고하고하니라면이리라,3,"epistemic_mood, deontic_mood, declarative_mood",epistemic_mood
은이니라로이라하니라은오이니,3,"declarative_mood, deontic_mood, interrogative_mood",declarative_mood
이하고이하니을리오이할새하고라,3,"epistemic_mood, deontic_mood, interrogative_mood",epistemic_mood
은오이니로하니는요니라,3,"declarative_mood, deontic_mood, interrogative_mood",declarative_mood
아오는하니요은하니로요은하니라,3,"declarative_mood, deontic_mood, interrogative_mood",declarative_mood
로하니오하니이니라하니이오하니라,3,"declarative_mood, deontic_mood, interrogative_mood",declarative_mood
하여라로에이니니리오,3,"epistemic_mood, deontic_mood, interrogative_mood",epistemic_mood
라이오이니라하고하니하다,3,"declarative_mood, deontic_mood, interrogative_mood",declarative_mood
으로하야하되하고하야하고하야에이라에하고하며하고러라,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
아하여어든하여호리라하니이다,3,"epistemic_mood, deontic_mood, declarative_mood",epistemic_mood
로에이니니리오라,3,"epistemic_mood, deontic_mood, interrogative_mood",epistemic_mood
는하여하며하며하며하며이라하니는라로하고호대이오,3,"declarative_mood, deontic_mood, interrogative_mood",declarative_mood
하야하고하고하고러니에하야이라,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
로으로러니하얀이라하얀에하고에이라,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
하야로되하니라은로하니이면리라,3,"epistemic_mood, deontic_mood, declarative_mood",epistemic_mood
하니이라하니하리라,3,"epistemic_mood, deontic_mood, declarative_mood",epistemic_mood
로다이며이리오,3,"epistemic_mood, interrogative_mood, declarative_mood",epistemic_mood
면하리라하니러니이어늘하니하고하다,3,"epistemic_mood, deontic_mood, retrospective_aspect",epistemic_mood
이나하여하여이러니에하니라로하니라,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
는오는며은니면하고이면이라,3,"declarative_mood, deontic_mood, interrogative_mood",declarative_mood
이러니하여이요하여하시며이하여하여하여이라로하여라,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
하고하야하고하야러니하야하니이라하고하다,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
이라이라하고는오는라,3,"declarative_mood, deontic_mood, interrogative_mood",declarative_mood
에라하야라오이라하고하니하야이라이에하니라에하야하야이라하야하야과이라하고라하니라나라,3,"declarative_mood, deontic_mood, interrogative_mood",declarative_mood
에이라로에하야하야이러니아하고하야하고하다,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
이나이에는하고러니하여는하니하여하여라니라,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
에에이러니하다이라가하다,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
하여하며하여하고한대하며하실새로하노니이라사하리라,3,"epistemic_mood, deontic_mood, declarative_mood",epistemic_mood
하니라도온하니라하고한대라가면하리라,3,"epistemic_mood, deontic_mood, declarative_mood",epistemic_mood
에이라으로러니라하야하야하고하다,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
에하야하니러니에이라,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
러니나하니라하고하니면니라한대하야하다,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
에할새한대이라가라하면라한대은라하고한대이러라,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
나하사하시면이하리니니이다하시며하시며하시면하며하리잇고,3,"epistemic_mood, interrogative_mood, declarative_mood",epistemic_mood
은이니이러니이라로하니라는라,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
은요은요는이요은라은이니이러니이라로하니라,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
하야하고하며하고에이라에러라,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
하리니라하여하고하여하고하여니,3,"epistemic_mood, deontic_mood, declarative_mood",epistemic_mood
로되하고하며하고하되이라에하고하야이나하얀하고하야이러라,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
하니하다러니라하야늘하다,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
로하여라하고오하니라,3,"declarative_mood, deontic_mood, interrogative_mood",declarative_mood
하니이여로소니오요라니도이어늘는하니오하니라,3,"declarative_mood, deontic_mood, interrogative_mood",declarative_mood
러니라어늘하니,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
오니이다라,3,"declarative_mood, deontic_mood, interrogative_mood",declarative_mood
이러라에니라하다,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
는니라이라하니오,3,"declarative_mood, deontic_mood, interrogative_mood",declarative_mood
에이라에하야이러니에러라,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
이러니이라어늘하고하니하야하고하다,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
에하고하야하니이라러라,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
하야한대하니라리니이닛가,3,"epistemic_mood, deontic_mood, declarative_mood",epistemic_mood
이로되러니라은라,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
에이라하야이러니,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
은잇가은하여이라도은니이다,3,"declarative_mood, deontic_mood, interrogative_mood",declarative_mood
이면이니라에은에이러니은에로다,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
면어니와이면이리니오리라하니하다,3,"epistemic_mood, deontic_mood, interrogative_mood",epistemic_mood
이라하니에하고이러라,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
하니라에하야러니하다,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
로되이하고라에러니이라,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
한대하야하니이나하야러니라러라,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
하야하야하야한대하니라하다러니에하야라,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
가하사대라호리라하더시니,3,"epistemic_mood, deontic_mood, retrospective_aspect",epistemic_mood
하고러니이할새하야이로되이어늘한대하니라하고하다,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
를컨대이니이라하여히에하리니,3,"epistemic_mood, deontic_mood, declarative_mood",epistemic_mood
은라에이라야이러시니,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
에는이오는오는이나하니이니라,3,"declarative_mood, deontic_mood, interrogative_mood",declarative_mood
은이라한대하고러라,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
하고하니로러라가이라,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
에이러니하고하얀하니라,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
에에세하니하야이나하니라에러니에하야하니라,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
하야한대하니오하니라한대이하고아하니하야하고라하다,3,"declarative_mood, deontic_mood, interrogative_mood",declarative_mood
는와으로며는과로라는니면리오,3,"epistemic_mood, deontic_mood, interrogative_mood",epistemic_mood
에하야하다이오이라,3,"declarative_mood, deontic_mood, interrogative_mood",declarative_mood
니하고하야리니이면이리이다한대이라,3,"epistemic_mood, deontic_mood, declarative_mood",epistemic_mood
하니이오하니라에라로이오,3,"declarative_mood, deontic_mood, interrogative_mood",declarative_mood
면리니라로니라,3,"epistemic_mood, deontic_mood, declarative_mood",epistemic_mood
하여하되라하더니오하고이어늘한대,3,"deontic_mood, retrospective_aspect, interrogative_mood",deontic_mood
하여하여이러니라하고할새하니라,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
하야하고러니이라하야하니하노라하다,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
이어늘이라으로하고를하니하고이라하야러라,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
에가러니와이하니라,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
하고인댄에하야면이아로되는라하니리오,3,"epistemic_mood, deontic_mood, interrogative_mood",epistemic_mood
하야하야하야한대하니이러라에하니하야이라,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
이나엔이러니하여이라이나에이면하니,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
하고하니는라이리오,3,"epistemic_mood, deontic_mood, interrogative_mood",epistemic_mood
엔하여이러니하여는아은이요은라하니이니라,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
이라하야러니로하다,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
에하야이라에러니하야하고에이라,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
에하니라를오라,3,"declarative_mood, deontic_mood, interrogative_mood",declarative_mood
하야라하야하니이리오,3,"epistemic_mood, deontic_mood, interrogative_mood",epistemic_mood
으로하야하야를리오하야하얀가하야에하며호되가라,3,"epistemic_mood, deontic_mood, interrogative_mood",epistemic_mood
에하니라한대이호되하여이러니,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
하고하니오이라니면오하니오,3,"declarative_mood, deontic_mood, interrogative_mood",declarative_mood
는오일새니라,3,"declarative_mood, deontic_mood, interrogative_mood",declarative_mood
에하야하야라이러니에하고하야하야하야하니로다,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
에하니라이면하리라,3,"epistemic_mood, deontic_mood, declarative_mood",epistemic_mood
에은에이러니은에로다는오,3,"declarative_mood, retrospective_aspect, interrogative_mood",declarative_mood
하야이에이러라에가이라,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
리니하여이라어늘하여이라하여이라,3,"epistemic_mood, deontic_mood, declarative_mood",epistemic_mood
하여하고라리니하여이라,3,"epistemic_mood, deontic_mood, declarative_mood",epistemic_mood
에러니하야하고에이라가라,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
하고하야하니라이러니하야하여하다,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
로되는라하니리오하야라,3,"epistemic_mood, deontic_mood, interrogative_mood",epistemic_mood
면은면에하여라리오,3,"epistemic_mood, deontic_mood, interrogative_mood",epistemic_mood
하고하야하니하고하며하고하야하니라이러니하니라,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
이하니라러라,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
엔하리이다하니나니라이나요이니는니라,3,"epistemic_mood, deontic_mood, declarative_mood",epistemic_mood
에잡이러니에이라하야하고하니이로대는과라,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
이로되이러니호되이이면이라,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
은니로가리오로라,3,"epistemic_mood, deontic_mood, interrogative_mood",epistemic_mood
에이러니에하야에라가하니이로되이라,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
라야하리라하니라하니하여하니아,3,"epistemic_mood, deontic_mood, declarative_mood",epistemic_mood
오는니라에하니이니라,3,"declarative_mood, deontic_mood, interrogative_mood",declarative_mood
하야호되하야러니에하야하야하니라,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
하여하니로이러라이나으로에하니라,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
오하니하야이라하니하고하야하야고하니는니오라하다,3,"declarative_mood, deontic_mood, interrogative_mood",declarative_mood
라니라다로리라,3,"epistemic_mood, deontic_mood, declarative_mood",epistemic_mood
하여하니하여아하여하여하여하니이리오하고는로다,3,"epistemic_mood, interrogative_mood, declarative_mood",epistemic_mood
이러니하고하야하야하야하되하야이라에러라,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
로일새하야하야하야하되하고하니라가하야이러라,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
이라하고하야하야하다에이러라,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
는하야이라이에하야하고이하야이러라,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
는리오하고하니이다,3,"epistemic_mood, interrogative_mood, declarative_mood",epistemic_mood
이면이오이라이니라하야이면하야니,3,"declarative_mood, deontic_mood, interrogative_mood",declarative_mood
인댄이니잇고하면하니라,3,"declarative_mood, deontic_mood, interrogative_mood",declarative_mood
러니하야하다에하니라,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
은는이요는니라에하고이는오,3,"declarative_mood, deontic_mood, interrogative_mood",declarative_mood
에하니이리오라,3,"epistemic_mood, deontic_mood, interrogative_mood",epistemic_mood
이이면이라며가하고리라라라,3,"epistemic_mood, deontic_mood, declarative_mood",epistemic_mood
오한대가라하니하고이라하고하야하야라하니,3,"declarative_mood, deontic_mood, interrogative_mood",declarative_mood
이가하고하야이하야하고하며하야하고하리니이이면이라며가하고리라,3,"epistemic_mood, deontic_mood, declarative_mood",epistemic_mood
에나이라하니이리라,3,"epistemic_mood, deontic_mood, declarative_mood",epistemic_mood
이잇가니라잇가이면는니은요이어든는니라,3,"declarative_mood, deontic_mood, interrogative_mood",declarative_mood
하고하야이러라이라하야하고하며하고,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
이라하여하여하고하여하여하니에하여라하니하고러라,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
한대하야하니라하니로러라,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
하니이하야한대하야하니이리오하다하니하야하고하야하야라,3,"epistemic_mood, deontic_mood, interrogative_mood",epistemic_mood
이나이라하니은라으로하고러니,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
에러니하야하고하야도하니라,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
이하야하고이라하더니에이하니하고러라,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
에하다에하야이러니이어늘이라,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
로이에하며에하며에이라가리요,3,"epistemic_mood, deontic_mood, declarative_mood",epistemic_mood
이는하고이니라이면이니니이다에이러라,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
이이라하여러니에호되하여라하니,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
하여로라하고하시니리오,3,"epistemic_mood, deontic_mood, interrogative_mood",epistemic_mood
과에이라하고하야하야하야이러라,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
하고하리라하니에라할새라하여이라하니라,3,"epistemic_mood, deontic_mood, declarative_mood",epistemic_mood
이러니하고하야하고는하니라이라하야이면하야이라,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
언마는하여하고하니잇가니라,3,"declarative_mood, deontic_mood, interrogative_mood",declarative_mood
로라이어시늘이러니아로이다면이라하여시늘호라,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
하니라하야러니에하야라,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
로러니이하고하야이이라하고,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
하며하야이러니이라니에라,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
하야는오이라하니하라,3,"declarative_mood, deontic_mood, interrogative_mood",declarative_mood
로가이라이러니에라하야러라,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
에가니하야라하니하야는라하고에하야이러니에하야하야하얀이이라,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
에하야이러니에하야하야하얀이이라하야하야이라,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
로하여하니이라이이나러라,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
하야하야오하니라이면라하니하고한대이면라하니하야라,3,"declarative_mood, deontic_mood, interrogative_mood",declarative_mood
이라엔하니이리라,3,"epistemic_mood, deontic_mood, declarative_mood",epistemic_mood
이라하야하야하니이하야이러니하야하니하야하고한대,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
은하고면이라하야하야하고하되하고하야은오,3,"declarative_mood, deontic_mood, interrogative_mood",declarative_mood
는라러니에이라,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
하여하니라호되러라,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
는하니는라어니이리오,3,"epistemic_mood, deontic_mood, interrogative_mood",epistemic_mood
잇가잇가니라,3,"declarative_mood, deontic_mood, interrogative_mood",declarative_mood
이어늘하니이리오하야오는라,3,"epistemic_mood, deontic_mood, interrogative_mood",epistemic_mood
컨대이요은니이라이러니하고러라,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
하야러니에하야라컨대이요은니이라,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
하니오하니라하니며하니이며하니이며,3,"declarative_mood, deontic_mood, interrogative_mood",declarative_mood
에이라하야이러니하야이라,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
과은이을하고을하고을하시니리오마는는하고하여니이다,3,"epistemic_mood, interrogative_mood, declarative_mood",epistemic_mood
에하고하니하다하야하고러니이라,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
로하여면이리오라,3,"epistemic_mood, deontic_mood, interrogative_mood",epistemic_mood
하고이라이러니하야하니에라,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
면리오이면라하고하다,3,"epistemic_mood, deontic_mood, interrogative_mood",epistemic_mood
에한대이로되이라할새이러니라하다,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
하여하고하여가이러니라로하여하니에도니라,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
에이어늘하니라오이하여할새이니라,3,"declarative_mood, deontic_mood, interrogative_mood",declarative_mood
라이면이니리오,3,"epistemic_mood, deontic_mood, interrogative_mood",epistemic_mood
이어늘이하고하여하여를어늘오이라로이니이다는하니면요니이다,3,"declarative_mood, deontic_mood, interrogative_mood",declarative_mood
하니리오은오은며은라,3,"epistemic_mood, deontic_mood, interrogative_mood",epistemic_mood
하리니라이라도라,3,"epistemic_mood, deontic_mood, declarative_mood",epistemic_mood
에에하고하야리라하니라하소서,3,"epistemic_mood, deontic_mood, declarative_mood",epistemic_mood
이나는라,3,deontic_mood,deontic_mood
하여이러니하고이라에하니라,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
이어늘하되어든라하더니하니한대이라,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
에이이러니하여이라하여이이니라하니라,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
할새한대이하고는요은라이라도이라가요면하리니하면를리라호리라,3,"epistemic_mood, deontic_mood, declarative_mood",epistemic_mood
오이라하니니아,3,"declarative_mood, deontic_mood, interrogative_mood",declarative_mood
오하니이라가라,3,"declarative_mood, deontic_mood, interrogative_mood",declarative_mood
하고으로하야에하며으로하야에라한대하니이리오하다,3,"epistemic_mood, deontic_mood, interrogative_mood",epistemic_mood
는하니은라이에이면리잇고,3,"epistemic_mood, deontic_mood, interrogative_mood",epistemic_mood
하여라로러시니라,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
하야이러니로되하야하고하니에하다하야한대리오하야하니,3,"epistemic_mood, retrospective_aspect, interrogative_mood",epistemic_mood
러니하야하고하야하고이라하니이라,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
가하야이어늘러니하니이라한대하니,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
에이오오오이라,3,"declarative_mood, deontic_mood, interrogative_mood",declarative_mood
이하여는하여하고하니이나을라하여이하니로하여이하니이리오,3,"epistemic_mood, deontic_mood, interrogative_mood",epistemic_mood
은러니이라하여한대이라,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
에하니라하야러니라호되하다,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
이라하니에이오오,3,"declarative_mood, deontic_mood, interrogative_mood",declarative_mood
이면라하고러니이라하니라하야하고이러라,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
오라하며하며하며이하면이하니이다라,3,"declarative_mood, deontic_mood, interrogative_mood",declarative_mood
라하여하나니이면이며이면이리오,3,"epistemic_mood, deontic_mood, interrogative_mood",epistemic_mood
이라하니라이라하니리라,3,"epistemic_mood, deontic_mood, declarative_mood",epistemic_mood
하야하야이라하얀하되러라,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
로하야이나하야하고하야이라에하야이에러라,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
하고하여이러니하여하니라에라,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
에러니이하야하야하야이어늘하야으로이라,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
에하여러니에이나라하여이러니하니이하니라,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
하여이러니하니이하니라,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
가하야하고이면어나로되하야에하야이라하고이러니에하야하야하다,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
에하니하여하되이라하고하여이러니하여하니라,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
하야하니라리니하야하야이면라,3,"epistemic_mood, deontic_mood, declarative_mood",epistemic_mood
은오은며은라이니라하고하다,3,"declarative_mood, deontic_mood, interrogative_mood",declarative_mood
에으로라라러니하야하고하야하고이라,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
이어늘라하고하니이라하고이러니는라,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
에하야하고에하야하니이이라에러라,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
는니라이라로하니하리니라,3,"epistemic_mood, deontic_mood, declarative_mood",epistemic_mood
에러니에하고하니이라하다,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
에어늘러니라이라,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
에는이라으로호되하고하여이이러니,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
에이러니이로되는러니에이라,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
로하야이라이어늘하니이러라,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
로이러니가이어늘라로하야이라,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
오하여니라,3,"declarative_mood, deontic_mood, interrogative_mood",declarative_mood
이러니에하야할새하야하야하야이라에하야이어늘하니이라하고하야이라하다,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
에하니하고이하고는어늘하니를오하고이니을호리라하고,3,"epistemic_mood, deontic_mood, interrogative_mood",epistemic_mood
이하여러니에이한대이하고어늘이하면라하니이다,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
이라가하고하야하다러니에하다,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
에하고에하니는오니라,3,"declarative_mood, deontic_mood, interrogative_mood",declarative_mood
에하니어늘한대라도이온이라가면니오하고하다,3,"declarative_mood, deontic_mood, interrogative_mood",declarative_mood
하야하야이러니에이라하야하니하야하고하야이라,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
가이라하야하야이러니에이라,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
에이라하고에하고러니,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
에하니잇가하여하니이라,3,"declarative_mood, deontic_mood, interrogative_mood",declarative_mood
하야하야하니이이라하고에이러니하야하고,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
라로하고하니이면리오,3,"epistemic_mood, deontic_mood, interrogative_mood",epistemic_mood
이어든하야하야러라에하야이라,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
이라로하니하리니라에이요라,3,"epistemic_mood, deontic_mood, declarative_mood",epistemic_mood
이에이면리잇고하여와와하라,3,"epistemic_mood, deontic_mood, interrogative_mood",epistemic_mood
하고라하니하고라하리니니라에는니는라,3,"epistemic_mood, deontic_mood, declarative_mood",epistemic_mood
에하니니하고라하야늘러니에하야이라,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
하노니하라커늘이하여하고러니하니하여로다,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
하여는어늘이하여인댄는이하여라하니이이며이리오,3,"epistemic_mood, deontic_mood, interrogative_mood",epistemic_mood
는이니는라를하고어늘하니리오,3,"epistemic_mood, deontic_mood, interrogative_mood",epistemic_mood
이어늘하고는오은어늘이하고하며하니라,3,"declarative_mood, deontic_mood, interrogative_mood",declarative_mood
은이요은라,3,deontic_mood,deontic_mood
하고라하여이러니하고이라,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
에이라가에이러니하여는이이요에를하여하다,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
은하고하니나하니하면요하리니라,3,"epistemic_mood, deontic_mood, declarative_mood",epistemic_mood
하사이면하여하리니라는라,3,"epistemic_mood, deontic_mood, declarative_mood",epistemic_mood
하여하고니라이면하리니은니라,3,"epistemic_mood, deontic_mood, declarative_mood",epistemic_mood
로이라하여하니하리라,3,"epistemic_mood, deontic_mood, declarative_mood",epistemic_mood
면하고리라하니이러라,3,"epistemic_mood, deontic_mood, retrospective_aspect",epistemic_mood
하여라은라,3,deontic_mood,deontic_mood
에하고로다를로다하니이러라,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
에하니이라하고에러니라하되라,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
오하고ㄹ새니라,3,"declarative_mood, deontic_mood, interrogative_mood",declarative_mood
이나은하고이면이라하니오은이라,3,"declarative_mood, deontic_mood, interrogative_mood",declarative_mood
은라하여요하며은라하고은라하니리오,3,"epistemic_mood, deontic_mood, interrogative_mood",epistemic_mood
하고러니에하야이라하고하고하고하다,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
는라히에러니하니하니라,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
에하야나라하고하되과하야하야이라로하고과을하야하고에이요하얀러라,3,"declarative_mood, deontic_mood, retrospective_aspect",declarative_mood
을리오하여라,3,"epistemic_mood, deontic_mood, interrogative_mood",epistemic_mood
